X;Y;ID_USIG;NRO_BANCO;NOMBRE;OBJETO;SUCURSAL;DIRECCION;BARRIO;COMUNA;FUNCION;TELEFONO;DETALLE;DIREC_NORM;DIREC_GIS
-58,399708;-34,599828;71;4;SANTANDER RIO;BANCO;CAPITAL FEDERAL;AV. CORDOBA 2282;BALVANERA;COMUNA 3;VISUAL, AUDIO Y RAMPA;;;CORDOBA AV. 2282;2282 CORDOBA AV.
-58,375882;-34,59856;44;3;ICBC;BANCO;RETIRO;AV. CORDOBA 633;RETIRO;COMUNA 1;VISUAL Y AUDIO;;;CORDOBA AV. 633;633 CORDOBA AV.
-58,440614;-34,598457;122;7;BANCO PATAGONIA;BANCO;CABA;AV. CORRIENTES 5376 / 5380;VILLA CRESPO;COMUNA 15;VISUAL Y AUDIO;;;CORRIENTES AV. 5376;5376 CORRIENTES AV.
-58,440703;-34,598374;36;3;ICBC;BANCO;VILLA CRESPO;AV. CORRIENTES 5386;VILLA CRESPO;COMUNA 15;VISUAL Y AUDIO;;;CORRIENTES AV. 5386;5386 CORRIENTES AV.
-58,377181;-34,597782;79;5;HSBC;BANCO;CAPITAL FEDERAL;PARAGUAY 720;RETIRO;COMUNA 1;VISUAL Y AUDIO;;;PARAGUAY 720;720 PARAGUAY
-58,497856;-34,59761;82;5;HSBC;BANCO;CAPITAL FEDERAL;CUENCA 3479;VILLA DEL PARQUE;COMUNA 11;VISUAL Y AUDIO;;;CUENCA 3479;3479 CUENCA
-58,375195;-34,596281;116;7;BANCO PATAGONIA;BANCO;CABA;FLORIDA 999;RETIRO;COMUNA 1;VISUAL Y AUDIO;;;FLORIDA 999;999 FLORIDA
-58,386909;-34,595986;40;3;ICBC;BANCO;RETIRO;URUGUAY 1081;RETIRO;COMUNA 1;VISUAL Y AUDIO;;;URUGUAY 1081;1081 URUGUAY
-58,387768;-34,595927;50;4;SANTANDER RIO;BANCO;CAPITAL FEDERAL;AV. SANTA FE 1450;RECOLETA;COMUNA 2;VISUAL Y AUDIO;;;SANTA FE AV. 1450;1450 SANTA FE AV.
-58,385522;-34,595847;4;1;MACRO;BANCO;AV. SANTA FE;AV. SANTA FE 1288;RETIRO;COMUNA 1;VISUAL Y AUDIO;;INGRESO A NIVEL;SANTA FE AV. 1288;1288 SANTA FE AV.
-58,372985;-34,595606;76;5;HSBC;BANCO;CAPITAL FEDERAL;RECONQUISTA 1047;RETIRO;COMUNA 1;VISUAL Y AUDIO;;;RECONQUISTA 1047;1047 RECONQUISTA
-58,398851;-34,59551;5;1;MACRO;BANCO;BARRIO NORTE;AV. SANTA FE 2220;RECOLETA;COMUNA 2;VISUAL Y AUDIO;;INGRESO A NIVEL;SANTA FE AV. 2220;2220 SANTA FE AV.
-58,380887;-34,595492;41;3;ICBC;BANCO;RETIRO;AV. SANTA FE 964;RETIRO;COMUNA 1;VISUAL Y AUDIO;;;SANTA FE AV. 964;964 SANTA FE AV.
-58,3728;-34,595486;114;7;BANCO PATAGONIA;BANCO;CABA;AV. LEANDRO ALEM 1064;RETIRO;COMUNA 1;VISUAL Y AUDIO;;;ALEM, LEANDRO N. AV. 1064;1064 ALEM, LEANDRO N. AV.
-58,377942;-34,595233;1;1;MACRO;BANCO;PLAZA SAN MARTIçN;AV. SANTA FE  784;RETIRO;COMUNA 1;VISUAL, AUDIO Y RAMPA;;;SANTA FE AV. 784;784 SANTA FE AV.
-58,392886;-34,594059;19;2;COMAFI;BANCO;CAPITAL FEDERAL;AV. CALLAO 1279;RECOLETA;COMUNA 2;VISUAL, AUDIO Y RAMPA;4813-4666;;CALLAO AV. 1279;1279 CALLAO AV.
-58,373395;-34,593344;89;5;HSBC;BANCO;CAPITAL FEDERAL;SAN MARTIN 1225;RETIRO;COMUNA 1;VISUAL Y AUDIO;;;SAN MARTIN 1225;1225 SAN MARTIN
-58,373395;-34,593344;90;5;HSBC;BANCO;CAPITAL FEDERAL;SAN MARTIN 1225;RETIRO;COMUNA 1;VISUAL Y AUDIO;;;SAN MARTIN 1225;1225 SAN MARTIN
-58,405856;-34,593009;20;2;COMAFI;BANCO;CAPITAL FEDERAL;AV. SANTA FE 2762;RECOLETA;COMUNA 2;VISUAL, AUDIO Y RAMPA;4823-3119;SOLO A CAJERO;SANTA FE AV. 2762;2762 SANTA FE AV.
-58,401028;-34,592049;28;3;ICBC;BANCO;RECOLETA;AV. PUEYRREDON 1657;RECOLETA;COMUNA 2;VISUAL Y AUDIO;;;PUEYRREDON AV. 1657;1657 PUEYRREDON AV.
-58,385708;-34,591456;2;1;MACRO;BANCO;QUINTANA;AV. QUINTANA 99;RETIRO;COMUNA 1;VISUAL Y AUDIO;;INGRESO A NIVEL;QUINTANA, MANUEL, PRES. 99;99 QUINTANA, MANUEL, PRES.
-58,511403;-34,591373;120;7;BANCO PATAGONIA;BANCO;CABA;AV. SAN MARTIN 6931/35;VILLA DEVOTO;COMUNA 11;VISUAL Y AUDIO;;;SAN MARTIN AV. 6931;6931 SAN MARTIN AV.
-58,408518;-34,590621;98;7;BANCO PATAGONIA;BANCO;CABA;AV. SANTA FE 3060;RECOLETA;COMUNA 2;VISUAL Y AUDIO;;;SANTA FE AV. 3060;3060 SANTA FE AV.
-58,390177;-34,590481;38;3;ICBC;BANCO;RECOLETA;AV. CALLAO 1661;RECOLETA;COMUNA 2;VISUAL Y AUDIO;;;CALLAO AV. 1661;1661 CALLAO AV.
-58,423583;-34,590229;13;1;MACRO;BANCO;CAPITAL FEDERAL;AV. ESCALABRINI ORTIZ 1729;PALERMO;COMUNA 14;VISUAL Y AUDIO;;;SCALABRINI ORTIZ, RAUL AV. 1729;1729 SCALABRINI ORTIZ, RAUL AV.
-58,408518;-34,590105;51;4;SANTANDER RIO;BANCO;CAPITAL FEDERAL;AV. SANTA FE 3077;RECOLETA;COMUNA 2;VISUAL Y AUDIO;;;SANTA FE AV. 3077;3077 SANTA FE AV.
-58,393752;-34,589105;35;3;ICBC;BANCO;RECOLETA;VICENTE LOPEZ 2050;RECOLETA;COMUNA 2;VISUAL Y AUDIO;;;LOPEZ, VICENTE 2050;2050 LOPEZ, VICENTE
-58,389209;-34,588678;18;2;COMAFI;BANCO;CAPITAL FEDERAL;AV. QUINTANA 439;RECOLETA;COMUNA 2;VISUAL Y AUDIO;4804-1099;;QUINTANA, MANUEL, PRES. AV. 439;439 QUINTANA, MANUEL, PRES. AV.
-58,383491;-34,588173;88;5;HSBC;BANCO;CAPITAL FEDERAL;AV. DEL LIBERTADOR 750;RETIRO;COMUNA 1;VISUAL Y AUDIO;;;DEL LIBERTADOR AV. 750;750 DEL LIBERTADOR AV.
-58,411999;-34,588;30;3;ICBC;BANCO;PALERMO;AV. SANTA FE 3316;PALERMO;COMUNA 14;VISUAL Y AUDIO;;;SANTA FE AV. 3316;3316 SANTA FE AV.
-58,413166;-34,587232;85;5;HSBC;BANCO;CAPITAL FEDERAL;AV. SANTA FE 3400;PALERMO;COMUNA 14;VISUAL Y AUDIO;;;SANTA FE AV. 3400;3400 SANTA FE AV.
-58,413649;-34,586908;31;3;ICBC;BANCO;PALERMO;AV. SANTA FE 3440;PALERMO;COMUNA 14;VISUAL Y AUDIO;;;SANTA FE AV. 3440;3440 SANTA FE AV.
-58,41538;-34,5853;61;4;SANTANDER RIO;BANCO;CAPITAL FEDERAL;AV. SANTA FE 3655;PALERMO;COMUNA 14;VISUAL Y AUDIO;;;SANTA FE AV. 3655;3655 SANTA FE AV.
-58,404069;-34,583263;32;3;ICBC;BANCO;PALERMO;AV. LAS HERAS 3001;PALERMO;COMUNA 14;VISUAL Y AUDIO;;;LAS HERAS GENERAL AV. 3001;3001 LAS HERAS GENERAL AV.
-58,411177;-34,58174;12;1;MACRO;BANCO;CAPITAL FEDERAL;AV. LAS HERAS 3701;PALERMO;COMUNA 14;VISUAL Y AUDIO;;;LAS HERAS GENERAL AV. 3701;3701 LAS HERAS GENERAL AV.
-58,407883;-34,580071;63;4;SANTANDER RIO;BANCO;CAPITAL FEDERAL;JERONIMO SALGUERO 2751;PALERMO;COMUNA 14;VISUAL Y AUDIO;;;SALGUERO, JERONIMO 2751;2751 SALGUERO, JERONIMO
-58,475222;-34,579883;119;7;BANCO PATAGONIA;BANCO;CABA;AV. TRIUMBIRATO 3897;VILLA ORTUZAR;COMUNA 15;VISUAL Y AUDIO;;;TRIUNVIRATO AV. 3897;3897 TRIUNVIRATO AV.
-58,408043;-34,578506;84;5;HSBC;BANCO;CAPITAL FEDERAL;AV. DEL LIBERTADOR 2694;PALERMO;COMUNA 14;VISUAL Y AUDIO;;;DEL LIBERTADOR AV. 2694;2694 DEL LIBERTADOR AV.
-58,428063;-34,577888;67;4;SANTANDER RIO;BANCO;CAPITAL FEDERAL;AV. SANTA FE 4846 / 48;PALERMO;COMUNA 14;VISUAL Y AUDIO;;;SANTA FE AV. 4846;4846 SANTA FE AV.
-58,400445;-34,569507;96;5;HSBC;BANCO;CAPITAL FEDERAL;AV. COSTANERA RAFAEL OBLIGADO Y J. SALGUERO;PALERMO;COMUNA 14;VISUAL Y AUDIO;;;OBLIGADO RAFAEL, AV.COSTANERA Y SALGUERO, JERONIMO;OBLIGADO RAFAEL, AV.COSTANERA & SALGUERO, JERONIMO
-58,447567;-34,568406;111;7;BANCO PATAGONIA;BANCO;CABA;AV. CABILDO 1159;PALERMO;COMUNA 14;VISUAL Y AUDIO;;;CABILDO AV. 1159;1159 CABILDO AV.
-58,460567;-34,565929;57;4;SANTANDER RIO;BANCO;CAPITAL FEDERAL;CRAMER;BELGRANO;COMUNA 13;VISUAL Y AUDIO;;;CRAMER;CRAMER
-58,439933;-34,565452;64;4;SANTANDER RIO;BANCO;CAPITAL FEDERAL;AV. LUIS MARIA CAMPOS 1175;PALERMO;COMUNA 14;VISUAL Y AUDIO;;;CAMPOS, LUIS M. AV. 1175;1175 CAMPOS, LUIS M. AV.
-58,453566;-34,565147;60;4;SANTANDER RIO;BANCO;CAPITAL FEDERAL;AV. CABILDO 1741;BELGRANO;COMUNA 13;VISUAL, AUDIO Y RAMPA;;;CABILDO AV. 1741;1741 CABILDO AV.
-58,437355;-34,564728;109;7;BANCO PATAGONIA;BANCO;CABA;OLLEROS 1712;PALERMO;COMUNA 14;VISUAL Y AUDIO;;;OLLEROS AV. 1712;1712 OLLEROS AV.
-58,458053;-34,56306;11;1;MACRO;BANCO;CAPITAL FEDERAL;JURAMENTO 2558;BELGRANO;COMUNA 13;VISUAL Y AUDIO;;;JURAMENTO AV. 2558;2558 JURAMENTO AV.
-58,459352;-34,558624;83;5;HSBC;BANCO;CAPITAL FEDERAL;AV. CABILDO 2453;BELGRANO;COMUNA 13;VISUAL Y AUDIO;;;CABILDO AV. 2453;2453 CABILDO AV.
-58,45965;-34,558282;47;4;SANTANDER RIO;BANCO;BELGRANO;AV. CABILDO 2491;BELGRANO;COMUNA 13;VISUAL, AUDIO Y RAMPA;;;CABILDO AV. 2491;2491 CABILDO AV.
-58,421416;-34,554098;95;5;HSBC;BANCO;CAPITAL FEDERAL;AV. COSTANERA RAFAEL OBLIGADO 5101;PALERMO;COMUNA 14;VISUAL Y AUDIO;;;OBLIGADO RAFAEL, AV.COSTANERA 5101;5101 OBLIGADO RAFAEL, AV.COSTANERA
-58,487655;-34,545264;70;4;SANTANDER RIO;BANCO;CAPITAL FEDERAL;VEDIA 3626;SAAVEDRA;COMUNA 12;VISUAL Y AUDIO;;;VEDIA 3626;3626 VEDIA
-58,442414;-34,541941;74;4;SANTANDER RIO;BANCO;CAPITAL FEDERAL;INT. GUIRALDES CIUDAD UNIVERSITARIA;BELGRANO;COMUNA 13;VISUAL Y AUDIO;;;;
-58,464062;-34,540708;104;7;BANCO PATAGONIA;BANCO;CABA;AV. LIBERTADOR 8108;NUNIEZ;COMUNA 13;VISUAL Y AUDIO;;;DEL LIBERTADOR AV. 8108;8108 DEL LIBERTADOR AV.
-58,439968;-34,620064;24;2;COMAFI;BANCO;CABALLITO;AV. RIVADAVIA 5288;CABALLITO;COMUNA 6;VISUAL Y AUDIO;;;RIVADAVIA AV. 5288;5288 RIVADAVIA AV.
-58,391882;-34,61535;110;7;BANCO PATAGONIA;BANCO;CABA;AV. ENTRE RIOS 555;BALVANERA;COMUNA 3;VISUAL Y AUDIO;;;ENTRE RIOS AV. 555;555 ENTRE RIOS AV.
-58,492704;-34,603189;26;2;COMAFI;BANCO;VILLA DEL PARQUE;NOGOYAÅ 3135;VILLA DEL PARQUE;COMUNA 11;VISUAL Y AUDIO;4503-3517;;NOGOYA 3135;3135 NOGOYA
-58,370616;-34,602411;69;4;SANTANDER RIO;BANCO;CAPITAL FEDERAL;AV. LEANDRO ALEM 456;SAN NICOLAS;COMUNA 1;VISUAL, AUDIO Y RAMPA;;;ALEM, LEANDRO N. AV. 456;456 ALEM, LEANDRO N. AV.
-58,37639;-34,598596;17;2;COMAFI;BANCO;CAPITAL FEDERAL;AV. CORDOBA 669;RETIRO;COMUNA 1;VISUAL Y AUDIO;;;CORDOBA AV. 669;669 CORDOBA AV.
-58,367737;-34,597814;87;5;HSBC;BANCO;CAPITAL FEDERAL;AV. ANTARTIDA ARGENTINA 821;RETIRO;COMUNA 1;VISUAL Y AUDIO;;;;
-58,399455;-34,59502;33;3;ICBC;BANCO;BARRIO NORTE;AV. SANTA FE 2265;RECOLETA;COMUNA 2;VISUAL Y AUDIO;;;SANTA FE AV. 2265;2265 SANTA FE AV.
-58,40895;-34,589741;80;5;HSBC;BANCO;CAPITAL FEDERAL;AV. SANTA FE 3117;RECOLETA;COMUNA 2;VISUAL Y AUDIO;;;SANTA FE AV. 3117;3117 SANTA FE AV.
-58,469754;-34,57896;14;1;MACRO;BANCO;CAPITAL FEDERAL;AV. DE LOS INCA 4138;VILLA ORTUZAR;COMUNA 15;VISUAL Y AUDIO;;;DE LOS INCAS AV. 4138;4138 DE LOS INCAS AV.
-58,44435;-34,570006;46;3;ICBC;BANCO;COLEGIALES;AV. CABILDO 745;PALERMO;COMUNA 14;VISUAL Y AUDIO;;;CABILDO AV. 745;745 CABILDO AV.
-58,391967;-34,605758;37;3;ICBC;BANCO;CONGRESO;AV. CALLAO 291;SAN NICOLAS;COMUNA 1;VISUAL Y AUDIO;;;CALLAO AV. 291;291 CALLAO AV.
